product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Print your own fabric,Melco Fabrics,Art Print Fabric,89,2480.170,-22.430,0.000,2457.740,221.150,2678.890
Daisy Shell Floral Blue,Melco Fabrics,Art Print Fabric,46,786.350,-268.300,0.000,518.050,51.810,569.860
Leafy Leopard Beige,Melco Fabrics,Art Print Fabric,40,690.900,-268.300,0.000,422.600,42.260,464.860
Daisy Shell Floral Chocolate,Melco Fabrics,Art Print Fabric,20,375.460,0.000,0.000,375.460,37.540,413.000
Summer play -  frilly floral in pink and mustard,Melco Fabrics,Art Print Fabric,20,400.000,0.000,0.000,400.000,40.000,440.000
Festive Forest Navy Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,19,315.910,0.000,0.000,315.910,31.590,347.500
Primrose mint floral,Melco Fabrics,Art Print Fabric,18,450.000,0.000,-141.820,308.180,30.820,339.000
Lovely Day Teal - Ellen McKenna,Melco Fabrics,Art Print Fabric,18,308.180,-63.480,0.000,244.700,24.470,269.170
Neo Checker (tangerine),Melco Fabrics,Art Print Fabric,17,293.630,-93.890,0.000,199.740,19.970,219.710
Garden Posies Black,Melco Fabrics,Art Print Fabric,15,270.000,0.000,0.000,270.000,27.000,297.000
Earthly Bloom - Mel Armstrong,Melco Fabrics,Art Print Fabric,14,263.640,0.000,0.000,263.640,26.360,290.000
Neo Checker (bluebird blue),Melco Fabrics,Art Print Fabric,14,241.810,-93.890,0.000,147.920,14.790,162.710
Australiana Christmas - The Scenic Route,Melco Fabrics,Art Print Fabric,13,217.740,0.000,0.000,217.740,21.760,239.500
Kookaburra Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,13,209.560,0.000,0.000,209.560,20.940,230.500
Ghosts & Spider Webs  - Black & Cream - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,12,210.910,0.000,0.000,210.910,21.090,232.000
Endangered Powder Blue- The Scenic Route,Melco Fabrics,Art Print Fabric,12,230.460,0.000,0.000,230.460,23.040,253.500
Whispering Wildflower Folklore,Melco Fabrics,Art Print Fabric,11,211.820,0.000,0.000,211.820,21.180,233.000
Whispering Wildflower Dusk,Melco Fabrics,Art Print Fabric,11,190.910,0.000,0.000,190.910,19.090,210.000
Bohemian Bloom Pastel,Melco Fabrics,Art Print Fabric,11,175.000,0.000,0.000,175.000,17.500,192.500
Owl and Quoll - The Scenic Route,Melco Fabrics,Art Print Fabric,11,187.730,0.000,0.000,187.730,18.770,206.500
Festive Forest Light Blue Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,10,161.820,0.000,0.000,161.820,16.180,178.000
White Dinos Green Palms,Melco Fabrics,Art Print Fabric,10,176.370,0.000,0.000,176.370,17.630,194.000
Gypsy Girl - sundance,Melco Fabrics,Art Print Fabric,10,261.820,-6.000,-69.090,186.730,18.670,205.400
Sketched Green Dino,Melco Fabrics,Art Print Fabric,10,180.000,0.000,0.000,180.000,18.000,198.000
Flannels Moss- The Scenic Route,Melco Fabrics,Art Print Fabric,10,172.740,0.000,0.000,172.740,17.260,190.000
Sweet as Strawberry,Melco Fabrics,Art Print Fabric,10,172.730,0.000,0.000,172.730,17.270,190.000
Suns on oat linen look,Melco Fabrics,Art Print Fabric,9,148.640,0.000,0.000,148.640,14.860,163.500
Sharks - Mel Armstrong,Melco Fabrics,Art Print Fabric,9,162.730,0.000,0.000,162.730,16.270,179.000
Gypsy Girl - Fall,Melco Fabrics,Art Print Fabric,9,171.820,0.000,0.000,171.820,17.180,189.000
Unicorn Fields,Melco Fabrics,Art Print Fabric,9,151.370,0.000,0.000,151.370,15.130,166.500
Christmas  Mottlecah Green Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,8,130.900,0.000,0.000,130.900,13.100,144.000
"Fleur flowers (tangerine, canary yellow, blue, spearmint, pink)",Melco Fabrics,Art Print Fabric,8,140.910,0.000,0.000,140.910,14.090,155.000
Lillipili and Lorikeet Blue Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,8,136.820,0.000,0.000,136.820,13.680,150.500
Ditsy daisy - burnished lilac,Melco Fabrics,Art Print Fabric,8,134.100,0.000,0.000,134.100,13.400,147.500
Garden Posies Purple,Melco Fabrics,Art Print Fabric,7,118.190,0.000,0.000,118.190,11.810,130.000
Crabs - Mel Armstrong,Melco Fabrics,Art Print Fabric,7,134.090,0.000,-15.910,118.180,11.820,130.000
Cockatoo Australian Birds in Dusty pink,Melco Fabrics,Art Print Fabric,7,131.820,0.000,0.000,131.820,13.180,145.000
Bohemian Bloom Whisper,Melco Fabrics,Art Print Fabric,7,124.090,0.000,0.000,124.090,12.410,136.500
Smiley Faces (tan caramel ),Melco Fabrics,Art Print Fabric,7,118.640,0.000,0.000,118.640,11.860,130.500
